product_id,product_title,product_description
B00P68L9RO,"BESTEK 12.1ft/3.7m 12V 24V Cigarette Lighter Extension Cord, 12AWG Heavy Duty Cigarette Lighter Cable with Cigarette Lighter Plug Socket (Black)",
B015CFUEC6,Nilight NI-WA-01C Cigarette Lighter Extension Cord Cable Heavy Duty 14ft 12V/24V Car Charger with Cigarette Lighter Socket,
B075DJTYQF,"Never Have I Ever Expansion Pack Two, Ages 17 and Above","<p><b>This is a Card Game for endless fun </b></p> <p> </p> <p>Every game of Never Have I Ever presents a chance to relive life's funny, embarrassing and awkward moments with your friends and family members. Well, don't worry, all your poor life decision-making has finally paid off. We've thought of hundreds of things you may or may not want to admit, and added rules to spice things up.</p> <p> </p> <p><b>Game Overview</b></p> <p> </p> <p>Everyone gets 10 Play Cards to start and takes a turn reading a Red Rule Card. During each round players have a chance to admit whether they’re ‘guilty’ or ‘not guilty’ of a Play Card. If you’re guilty, you have to keep the card. If you're not guilty, you have to discard it. The first person to collect 10 Play Cards wins (or losses depending on how you look at life).</p> <p></p> <p><b>To Play</b></p> <p> </p> <p>Each round, a new person will pick a Red Rule Card from the pile, read the directions aloud, and place it face up on the table. Then, all the players (including the player that drew the rule card) does what the card says. For example: One rule card is called ""Awkward Moment,"" which reads: ""Everyone passes a play card to you. Once you have everyone's play card, you must answer them all. If you are guilty of the play card, you have to keep it. If you are not guilty of the play card, you discard it.""</p> <p><b>Here Are Some Play Card Examples</b></p> <p> </p> <p>Never Have I Ever Dated My Sibling's Ex. Never Have I Ever Done Something Illegal With A Family Member. Never Have I Ever Shown Up To Thanksgiving High. Never Have I Ever Rocked A Muffin Top.</p> <p> </p> <p><b>Game Contents</b></p> <p> </p> <p>Original game: ​​Includes 550 Cards (485 Play Cards and 65 Rule Cards with 10 Variations) + instructions.</p> This pack 112 all new game cards too add to original game, 10 blank cards to add your own!"
B07GJYCKCY,"StarTech.com 1 ft Flat Extension Cord - NEMA 5-15R to NEMA Right-Angle 5-15P Power Cable - Low Profile Extension Cord - Right Angle Power Cord (PAC101R1) , Black",1FT LOW PROFILE EXTENSION CORD 5-15R TO ANGLED 5-15P
B07JVK9HXR,"SCCKE 14AWG Premium Pure Copper 12V 24V Car Cigarette Lighter Socket Extension Cord, 14.8ft / 4.5m 14 AWG Cable Wire for Car Inverter Air Pump Electric Cup car Refrigerator etc",
B07VDHS3VN,"Electop 1 to 2 Car Cigarette Lighter Splitter Adapter Power Charger Port, 6Ft Cigarette Lighter Extension Cord Cable 16AWG UL Wire, 12V 24V Plug Socket 2-Way Splitter Y Adapter with 15A Fuse","Electop 1 to 2 Car Cigarette Lighter Splitter Adapter Power Charger Port, 6Ft Cigarette Lighter Extension Cord Cable 16AWG UL Wire, 12V 24V Plug Socket 2-Way Splitter Y Adapter with 15A Fuse"
B07W6V633S,"Cigarette Lighter Splitter 2 Socket, ZHSMS Car Charger Port Splitter 12V/24V Power Outlet Dual Plug with 10FT Cigarette Lighter Extension Cord","<b>Specifications<b/><br> <b>Material:<b/> plastic & metal<br> <b>Input Voltage: <b/>12V / 24V DC<br> <b>Output Voltage: <b/>12V / 24V<br> <b>Cable Length: <b/>3Meters/10Ft<br><br> Usage: This 12V/24V cigarette lighter 2-sockets perfectly fit for your GPS, dash cam, seat heater, car refrigerator, vacuum cleaner, air purifier and other car products<br><br> This heavy-duty cigarette lighter extension cord uses SPT-2 16AWG pure copper UL Certified Wire to provide stable current for your devices. Male plug built-in replaceable 10A fuse, timely cut off the current to prevent the car splitter and your devices from over-current, over-voltage, over-load, over-heating and short-circuit<br><br>"
B0857FXK2F,Magnetic Ring Adapter (4 - Pack),
B08CNH6H1H,"2 Pack Power Saver, Energy Saver, Household Power Saver, Power Saving and High Efficiency US Plug 90V-250V 30KW","<br>Features: <br>1.Stable voltage and balance the current, avoid the waste of electricity invalid. <br>2.Internal leakage protection measures make it safe and reliable; extend the service life of the electrical product. <br>3.Smart, sleek design with LED lights to indicate operation. <br>4.Efficient and quick after-service. <br>5.No need for maintenance, no need to pay attention. <br>Specification <br>Rated voltage: 90V-250V <br>Rated frequency: 50HZ-60HZ <br>Useful load: 30000W <br>Adapter plug: US <br>Illustration for using <br>1.plug the power factor saver into any socket at home, and assure it is plugged in; the indication lamp has to be lighted up. <br>2.Simple and easy operation, just plug in. According to the number of home appliances you have, use one or more power factor saver. <br>Advantages: <br>Much Stable - Optimization is conducted on Circuit Board, totally according to the international standard. <br>Much Safe - Grounded electricity leakage protection, advanced imported fireproof and blast proof material. <br>Much Efficient. <br>Notice <br>1. When using, plug it into any socket, no need for maintenance, no need to pay attention. <br>2. After using, don't take off often. Avoid influencing the result of saving electricity. <br>3. Don't let the kids touch it. Assure their safety. <br>4. Please don't open or repair it by yourself. <br>Package Include: <br>2 x Electricity Saving Box <br>1 x User Manual"
B08CXL1CGB,"25FT Cigarette Lighter Extension Cord 25FT - Male Plug to Female Socket 16AWG Heavy Duty Extension Cable with LED Lights Power for Tire Pump, Air Compressor",
B08G7Y4GTP,"SPARKING 20FT Cigarette Lighter Extension Cord 20FT - Male Plug to Female Socket 16AWG Heavy Duty Extension Cable with LED Lights Power for Tire Pump, Air Compressor",
B08GFY6MXX,"SCCKE 14AWG Premium Pure Copper 12V 24V Car Cigarette Lighter Socket Extension Cord, 3ft / 0.92m 14 AWG Cable Wire For Car inverter Air pump electric cup car refrigerator etc",
B08GK2P4SD,"Flat Plug Power Strip with 3 USB Ports, TESSAN 4 Widely Spaced Outlets Extension Cord Wall Mount Charging Station, 5 FT Power Cord for Home, Office, Dorm Essentials, Blue","Portable and Multifunctional</br> Compact Square Power Strip with 4 AC Outlets and 3 USB Charging Ports, will maximum space-saving at home/office or in your travel bag. The wide-spaced outlets will fit the big plugs without blocking each other. The USB charging ports will charge your smartphone, tablet, and many other USB devices without an adapter.</br> Customized Overload Protection Switch</br> We Designed and Customized a Overload Protection Switch to safeguards your expensive computers, tv, and all other electronic devices from overload, short circuit, voltage fluctuations. the reliable overload switch will trip off automatically to protect your devices and your home when the power overload.</br> FLAT PLUG</br> The flat plug features a low profile fits easily in tight spaces, and the 45 degrees angled plug to keep other outlets available, is the ultimate space-saving power strip for your home, hotel, dorm room, or travel.</br> WIDELY SPACED</br> Widely Spaced Outlets fit for big power adapters without blocking adjacent outlets. Easily plug in your PC, TV, printer more. four 3-prong outlets and 3 USB sockets for a total of 7 plugs at a time. saving your space and making your desktop organized</br> WALL MOUNTABLE</br> Mount this USB power outlet on the wall/desk/nightstand would be easily by 2 slots on the back.</br> 1. Measure the distance between the 2 slots with the vertical and horizontal direction on the back of the power bar.</br> 2. Punch 2 holes on the baseboard with the distance you just measured and insert two self-tapping screws(PA2.5 to PA3.5)</br> 3. Hang the outlet strip on the screws then pull it down a little to make sure the strip is tight.</br> SPECIFICATION:</br> Input Voltage: 100~240V AC 50/60Hz</br> Electrical Rating: 125V~ ,10A, 1250W</br> USB Output: 2.4A each port, 3A in Total</br> Cord Length: 5 ft/1.5m</br>"
B08M5KT852,"JamBer Fast Car Charger Adapter, 3.1A Dual Port USB/2.4A Type C Port 3in1 Digital Car Charger, 3-Port Cigarette Lighter Splitter, Compatible with Any Cell Phone, iPhone Apple Samsung & Tablets","Why Choose JamBer Cigarette Lighter Adapter For Your Car? Three types of charging ports selection 3 cigarette lighter sockets, 2 USB ports,1 Type-C port, you could charge 6 devices at the same time without worrying about how to distribute the charging port.3 12V/24V cigarette lighter sockets: They provide a total power up to 150W, used to plug three FM Transmitters simultaneously or multiple car appliances.1 QC USB ports and 1 USB ports: It provides 3. 1A current output/port for charging requirements for iPad, Samsung, Huawei, tablet PCs, and other electronic devices.Type-C charging port: it provides 1.5A current output for charging Android devices, and 1A current output for charging IOS devices.* Safety System Ensures Your Reassuring:With the over-current, over-voltage, and short-circuit protection, the built-in fuse of the car charger would timely cut off the current to protect your car. And the LED display would shinning to remind driver if the car battery voltage is too high or too low, help you monitor the car voltage.* Shiny in the dark:3 cigarette lighter sockets with the embedded blue LED lights would shiny once the vehicle power center is on (the independent switch is on), which helps you easily find it even in the dark.* Voltage Monitor With LED display for monitoring your car battery automatically once the vehicle power center is on. Let you always know the health and safety status of the battery."
B08Q3P52M1,"Nulaxy 150W Cigarette Lighter Adapter, 2 Sockets Cigarette Lighter Splitter, USB C/QC3.0/USB2.4A Fast Car Charger,Car Charger Adapter Separate Switches, 15A Replaceable Fuse for Ipad/Phone/GPS",
